"payCardID","payCardBank","payCardName","payCardSex","payCardBirthYear"
560124338883,flazz,"Harjaya Lazuardi, S.E.",F,1973
560633309896,flazz,Mursita Prastuti,M,1998
561500422432,flazz,"Sabrina Megantara, M.Farm",F,2007
563170787110,flazz,Azalea Winarsih,F,1994
564493024850,flazz,"drg. Pranata Sihotang, M.Farm",F,1993
564770692288,flazz,Darimin Hutasoit,M,2006
564779969448,flazz,"Yance Suryono, S.Farm",F,1982
564804206261,flazz,dr. Fitriani Rajata,M,2003
565431772831,flazz,"Azalea Setiawan, S.E.",F,2007
565511286645,flazz,Sutan Nasim Saragih,F,2012
565845480021,flazz,Cakrajiya Fujiati,F,1992
565988717981,flazz,Salimah Suartini,M,1992
566171543168,flazz,Laila Simanjuntak,F,1992
566942923723,flazz,Harimurti Hariyah,F,1998
567048101008,flazz,"Drs. Faizah Widodo, S.H.",F,2001
567169910336,flazz,Aurora Waskita,M,2004
567286069354,flazz,"Dt. Atmaja Suartini, M.Farm",F,2000
567328477953,flazz,"Dr. Puput Wijaya, S.T.",F,1955
568339050417,flazz,Ganda Latupono,F,2010
569536767183,flazz,Jamalia Zulaika,F,1985
570918242399,flazz,Mumpuni Gunarto,F,1998
570928206772,flazz,Embuh Mardhiyah,M,1982
571548857234,flazz,Yance Wahyuni,M,1993
571979859337,flazz,Queen Tarihoran,M,1983
572311836488,flazz,Cornelia Haryanti,F,1989
572544509597,flazz,drg. Kayun Safitri,M,1987
572846044996,flazz,Soleh Natsir,F,2000
573673840092,flazz,Nasab Yuliarti,F,1994
573891473155,flazz,Edison Marpaung,M,2002
573942256138,flazz,Xanana Hartati,M,1981
574726750023,flazz,drg. Lukita Rajata,F,1983
574887290025,flazz,Gina Widiastuti,M,1959
575273480229,flazz,Harimurti Purnawati,F,1996
575724437786,flazz,Upik Maheswara,F,2009
576927814706,flazz,Lili Siregar,M,1982
577158629979,flazz,Galih Pradana,F,1998
578253836568,flazz,Talia Prayoga,M,1985
579114498853,flazz,Kalim Hidayanto,F,1986
579559716439,flazz,Indah Zulaika,M,2001
580165317646,flazz,R.A. Janet Nasyidah,F,1984
580183341537,flazz,Rika Sihombing,M,1986
581570008267,flazz,"Genta Utama, S.E.I",M,1986
584795923666,flazz,"Tgk. Dasa Pangestu, S.E.I",F,1965
585314901299,flazz,Prasetyo Nashiruddin,F,1984
586670325479,flazz,"Viktor Uyainah, M.TI.",F,1984
586818272435,flazz,"KH. Paiman Maheswara, S.I.Kom",M,1969
587526878497,flazz,Sidiq Prastuti,M,1991
587537853984,flazz,"Raisa Putra, M.Ak",F,1989
587887634588,flazz,Drs. Harjo Nurdiyanti,M,1986
587942434511,flazz,"R.A. Elvina Andriani, S.Pt",M,1995
588376777318,flazz,Alika Halimah,M,1985
589057391023,flazz,Vega Anggraini,F,1990
630411801479,flazz,Hasim Utami,F,1994
630413421839,flazz,"Satya Suryatmi, M.M.",F,2001
630419596436,flazz,"Hani Ardianto, S.Ked",F,1997
630440475063,flazz,Jaiman Sinaga,F,1993
630464739089,flazz,Dt. Praba Adriansyah,F,1984
630465282121,flazz,Agus Utami,M,1991
630465586752,flazz,Winda Puspita,M,1959
630468015049,flazz,Rama Budiyanto,M,1980
630468899772,flazz,Rahman Marbun,M,2002
630470696539,flazz,"Jaswadi Padmasari, S.E.I",F,1993
630471439459,flazz,Aisyah Budiman,F,2011
630480849201,flazz,"Cut Tira Zulaika, M.Ak",M,1991
630485154219,flazz,Jaga Saputra,M,2012
630486994241,flazz,"H. Aswani Megantara, M.M.",M,2008
630487347266,flazz,"drg. Dinda Prastuti, S.Sos",M,1964
630487570438,flazz,"Hana Mandala, S.Pt",M,1965
630495252185,flazz,Siska Simbolon,F,1986
639000296355,flazz,Catur Najmudin,F,2012
639010421852,flazz,"Gara Marbun, S.Gz",M,1968
639030041482,flazz,"Akarsana Nurdiyanti, M.Farm",M,2010
639038023698,flazz,Rahmi Mulyani,F,2010
639040388584,flazz,"Galang Megantara, S.Ked",M,1989
639040716958,flazz,"Ir. Shania Suryatmi, M.Ak",M,1993
639048791417,flazz,"Gantar Namaga, S.Sos",F,1989
639067876230,flazz,"Rizki Firmansyah, M.Farm",M,1976
639074274320,flazz,Mulya Hutapea,F,2011
639083950241,flazz,H. Hadi Susanti,F,1992
639099174703,flazz,Surya Wacana,F,1978
675931790124,flazz,"Prayoga Siregar, S.Gz",F,1963
675934713586,flazz,Cornelia Wijayanti,M,2008
675967519363,flazz,"Tasdik Thamrin, M.M.",F,1983
675969825727,flazz,Latif Sudiati,M,1987
675970532189,flazz,Hani Oktaviani,M,1997
675974474768,flazz,Dr. Ajimat Hidayat,F,2007
675983362574,flazz,Salwa Waskita,M,1993
675987410957,flazz,Yessi Novitasari,M,1990
675990206087,flazz,Margana Narpati,F,1989
675993490696,flazz,Okto Uwais,F,1981
676100508875,flazz,Cut Salsabila Kurniawan,M,1983
676110340186,flazz,Icha Hartati,F,1990
676145146616,flazz,Drs. Julia Ramadan,M,1989
676170059098,flazz,"Dt. Vinsen Budiyanto, S.H.",F,2009
676170489782,flazz,Pia Halim,F,2008
676172975739,flazz,"Dr. Zaenab Wulandari, S.Ked",M,1996
676190181542,flazz,Tgk. Umay Usamah,F,1992
676192275250,flazz,dr. Nova Mardhiyah,F,1971
676194898042,flazz,Tiara Kurniawan,F,2006
676201754147,flazz,"Dr. Ilyas Lestari, M.Ak",F,1991
676208293602,flazz,Cahyono Permata,F,2004
676223317774,flazz,Ajeng Santoso,M,2012
676238149170,flazz,Latika Saefullah,F,1997
676246072349,flazz,"Raharja Hastuti, M.Pd",M,2008
676249291979,flazz,Kayla Mandala,F,1999
676258627659,flazz,"Rafi Siregar, M.Kom.",F,1994
676264221174,flazz,"T. Damar Suwarno, M.Pd",F,1991
676266186037,flazz,Ratna Hutasoit,M,1979
676274145736,flazz,Edi Lazuardi,M,1995
676283044227,flazz,Keisha Handayani,M,1984
676292018345,flazz,Wani Rajasa,M,2006
676293109036,flazz,Fathonah Saefullah,M,1983
676311246976,flazz,Heryanto Sihombing,F,2000
676316443321,flazz,T. Dodo Kurniawan,F,1975
676318264501,flazz,Harsanto Wasita,F,2007
676323397635,flazz,Darsirah Hasanah,M,1977
676327742745,flazz,Eja Sihotang,M,1992
676340574497,flazz,Cengkal Lestari,F,1985
676346336529,flazz,Cut Alika Dongoran,F,1996
676367323901,flazz,Eluh Nugroho,F,2011
676368577380,flazz,"Tgk. Puput Hartati, S.Psi",F,1982
676371995694,flazz,"T. Tirta Andriani, S.Farm",F,1987
676379677179,flazz,"Jamalia Rahmawati, M.Farm",M,1951
676391914618,flazz,Jaga Purwanti,M,2005
4000041838802,online,Diah Marpaung,M,2012
4009697722749,online,Luwar Prabowo,M,1966
4013476857759,online,"Daliono Prabowo, M.Ak",F,1992
4016568396545,online,R.M. Mursita Hariyah,M,1972
4023591971708,online,Rangga Riyanti,M,1987
4038622850424,online,Purwa Utama,F,1978
4040314383482,online,"Asirwanda Najmudin, S.Ked",M,1993
4043008301075,online,Jefri Putra,M,1993
4044179543016,online,Dr. Rusman Pertiwi,F,1961
4049598658998,online,"Mursita Widodo, M.TI.",F,1996
4055737709006,online,Genta Nurdiyanti,F,1988
4056836188316,online,Nadine Utami,M,1975
4065366568284,online,Fitriani Pudjiastuti,F,2010
4066577839605,online,Asmadi Agustina,F,1983
4068378587730,online,Rahayu Iswahyudi,F,1983
4071577362475,online,Jaeman Natsir,F,1991
4095427468067,online,dr. Najwa Lailasari,M,1979
4097122165824,online,Dewi Mansur,M,1994
4112330548313,online,"Drs. Gilda Sinaga, S.Psi",M,1994
4119972246486,online,Vera Marbun,F,2003
4121673937975,online,H. Eko Novitasari,F,1994
4122123545871,online,"Cahyono Firmansyah, S.Pd",M,1992
4139531858845,online,Tgk. Kacung Nashiruddin,F,1997
4150186692389,online,Lili Suryatmi,M,1968
4188469163215,online,"Cut Ayu Rahayu, S.Pd",M,1982
4194649297295,online,Nova Budiman,M,1971
4197520568098,online,"R. Sarah Firmansyah, S.Pd",F,1996
4204629498605,online,R. Kiandra Maryadi,F,1995
4205984560392,online,"T. Baktiadi Prakasa, S.H.",F,2009
4216440479440,online,Ir. Jasmani Wijaya,M,1982
4227610062494,online,Carla Jailani,M,1962
4227729131214,online,Maryanto Tamba,M,1982
4228631436774,online,"H. Satya Nashiruddin, S.Farm",M,1949
4231995142673,online,Dalima Winarsih,F,2008
4235359148242,online,Rahayu Yuliarti,F,1996
4241814663460,online,Bakda Lailasari,M,1959
4249227937686,online,Tami Santoso,F,1988
4256817668191,online,"Kartika Sinaga, S.IP",F,1999
4263095985131,online,Ir. Lasmono Maulana,M,2004
4273966735515,online,Purwanto Rajata,M,1972
4281653494791,online,Zelda Wibowo,M,1989
4290559479079,online,Lutfan Hakim,M,2011
4291465280304,online,"Silvia Utama, M.M.",F,1990
4300800810103,online,Faizah Samosir,M,2009
4300964686794,online,Ir. Prakosa Maryadi,F,1994
4306052879688,online,Suci Samosir,F,1991
4307408224686,online,Puspa Sihombing,F,2012
4313050166209,online,Nrima Prasetya,F,1985
4316052775612,online,Uda Halim,M,1985
4323180529937,online,"Sutan Aswani Budiyanto, M.Kom.",F,1966
4323424420612,online,R.A. Jamalia Padmasari,M,1978
4331844486345,online,R.A. Malika Hasanah,F,2012
4349882795195,online,Rudi Kuswoyo,M,2002
4357457456440,online,Legawa Wulandari,M,2010
4358928087871,online,Dadi Nasyiah,F,1995
4362659538201,online,Yessi Lazuardi,M,1987
4367294005037,online,Dr. Wirda Hardiansyah,M,1982
4374767918118,online,Harja Prabowo,M,1992
4377787328010,online,Puti Ida Januar,F,2004
4381168764041,online,"Dt. Cawisadi Prasetya, S.IP",F,1986
4384282576580,online,Daliono Melani,F,1981
4398802942684,online,Wisnu Mardhiyah,F,1983
4400887914495,online,Darmanto Saragih,F,1968
4407982607791,online,Tina Saefullah,F,1991
4421630797854,online,"Luthfi Habibi, S.H.",M,1977
4422444870929,online,"dr. Agnes Nugroho, S.T.",F,2004
4432146433702,online,"Novi Hutasoit, M.Farm",F,2005
4434749577653,online,drg. Ifa Salahudin,M,1950
4439401513771,online,Vanya Sirait,F,2007
4445427212090,online,R.M. Langgeng Nashiruddin,F,2008
4448373768784,online,T. Lasmanto Latupono,M,1987
4459391777491,online,Paramita Salahudin,M,2004
4461146257530,online,dr. Wisnu Wulandari,M,1974
4484911604850,online,Caket Dongoran,F,1971
4495228866149,online,Bahuraksa Wasita,M,2003
4498288202551,online,dr. Betania Saragih,F,1987
4513655143046,online,Safina Hastuti,M,1988
4526082263963,online,Anita Hutasoit,F,2000
4541880000962,online,Drs. Hani Pratama,F,2012
4543926367520,online,Belinda Mansur,F,1991
4546580766523,online,"drg. Sadina Mansur, M.Kom.",M,1994
4555304365157,online,Eluh Adriansyah,M,1991
4575486841940,online,Zalindra Rahmawati,M,1987
4577386103603,online,Harjasa Haryanto,M,1968
4578011445781,online,Ir. Usman Megantara,F,1991
4580329739350,online,Citra Puspasari,F,1985
4580601025213,online,Ibrahim Zulkarnain,F,1989
4582025937312,online,dr. Melinda Pangestu,M,1981
4618084512479,online,Wulan Latupono,F,1982
4621454280297,online,"Dr. Rika Sitorus, S.T.",F,1967
4629225227158,online,Fathonah Nainggolan,F,1992
4658390521830,online,Karya Winarno,M,1989
4658673312063,online,"Farah Mansur, S.Pt",M,1993
4667337468542,online,"drg. Bala Yolanda, S.Farm",M,1984
4678097992274,online,Restu Pudjiastuti,M,1980
4679239370635,online,Wirda Narpati,F,1974
4682220924642,online,"Drs. Nadia Ramadan, S.Sos",M,1960
4693742373622,online,Maida Santoso,M,2002
4695307602279,online,"Arsipatra Saputra, S.E.I",F,1999
4697156234816,online,Daliman Lailasari,M,1986
4709994160903,online,"Cut Gabriella Haryanti, S.Sos",M,1974
4718462919104,online,Tgk. Shakila Prakasa,F,1988
4718616234301,online,"Salimah Gunarto, M.Pd",F,1968
4725775400524,online,Darmana Gunawan,F,1993
4726554349155,online,R.A. Betania Maulana,F,1975
4727479284006,online,Lutfan Laksita,M,2004
4741860768238,online,"drg. Argono Nainggolan, S.Kom",F,1992
4742238627791,online,"Tgk. Nabila Wahyuni, M.Farm",F,1972
4743531705649,online,Aslijan Mustofa,F,1995
4745660707486,online,Tina Dabukke,F,1966
4748618433619,online,Sakura Haryanti,F,2006
4760129001603,online,Warji Nasyidah,M,1981
4760137225202,online,"R.A. Fitria Pudjiastuti, M.TI.",F,1987
4762168511427,online,Dr. Patricia Halim,M,1992
4767711653196,online,Uchita Hassanah,M,1985
4775206940093,online,"Cahyo Sudiati, M.Farm",M,1979
4791851470070,online,"Sutan Nasrullah Wibowo, M.M.",F,1986
4804574576642,online,"Ira Mansur, M.TI.",F,1988
4813069952218,online,"Cinthia Setiawan, M.Kom.",F,1985
4821029051872,online,Raisa Palastri,F,2004
4821680998213,online,Gandewa Prasasta,M,1994
4824850146050,online,Umar Ardianto,F,1987
4834222061986,online,Drs. Padmi Mandasari,M,1991
4836081459896,online,"R.A. Clara Wastuti, S.E.I",F,1984
4844470388320,online,"Rina Gunarto, S.Sos",M,1984
4848891778217,online,"Ajiono Budiyanto, S.I.Kom",M,1971
4849516997489,online,Karma Novitasari,M,1980
4852221634256,online,"Lanang Setiawan, S.I.Kom",F,1994
4853213936956,online,Cornelia Purwanti,F,2008
4863916116749,online,Drs. Padma Rajasa,F,2001
4866586731093,online,H. Putu Rajata,F,2000
4872411398116,online,Cawisadi Setiawan,F,1999
4874449016082,online,"Salimah Waskita, S.Pt",F,1989
4875145882289,online,Asmianto Usamah,F,2012
4875206118292,online,Martani Saputra,M,1991
4880385425658,online,"Elvin Saragih, S.Ked",F,1991
4897033850053,online,"dr. Paulin Putra, M.M.",F,1998
4906811590177,online,"Cut Ajeng Habibi, S.Kom",F,1982
4907587242613,online,Daryani Zulaika,M,1984
4928589848629,online,Dartono Natsir,M,2006
4931734690862,online,Setya Nasyiah,M,1982
4933173483056,online,Utama Hassanah,F,1990
4946543493373,online,dr. Kambali Utami,M,1987
4946777822784,online,Wirda Yuliarti,M,1990
4948977213350,online,Balapati Gunarto,M,1977
4956673008776,online,"R. Wage Aryani, M.Kom.",F,1991
4960241087932,online,Adika Pudjiastuti,F,2001
4964008481270,online,Cahyono Mustofa,M,1984
4966489323202,online,Eka Yolanda,M,1998
4969284110642,online,"Hj. Ophelia Haryanti, S.Sos",M,2002
4992399872617,online,Cengkal Lestari,M,1970
4993710478837,online,Gaduh Nasyidah,F,1990
30002217769215,bni,Naradi Hassanah,M,1962
30007077737525,bni,Ida Rahayu,F,1999
30009444808450,bni,Tirta Marbun,M,1963
30011083993544,bni,Nilam Mayasari,F,2005
30015996038594,bni,Dinda Yuliarti,F,2000
30023091550042,bni,Karsa Hutapea,M,1978
30024766664563,bni,"Ifa Siregar, S.Farm",F,1990
30029590639160,bni,Hj. Mala Permata,M,1982
30030347979206,bni,R.M. Laksana Utami,F,1986
30038102422775,bni,"Liman Rahimah, S.Ked",F,1987
30038862775438,bni,"Lala Prastuti, M.TI.",F,2010
30042986059794,bni,Danang Mardhiyah,F,1995
30049505347485,bni,"Ophelia Kuswoyo, S.Farm",M,1983
30063543803011,bni,Ratna Nainggolan,F,1982
30066742678589,bni,Sutan Lukita Hartati,M,2008
30068671582428,bni,Cornelia Nurdiyanti,F,1984
30076208696652,bni,"Tgk. Oliva Nainggolan, M.Pd",F,2010
30076245962299,bni,Baktianto Nasyidah,F,1990
30077025116544,bni,Bella Pertiwi,M,1972
30086319184308,bni,"Drs. Eli Megantara, S.H.",M,1989
30087999917744,bni,Saadat Lestari,M,1985
30092164700289,bni,Asman Gunawan,M,2008
30100687125098,bni,"Galak Budiman, S.Pt",F,2008
30102021683402,bni,Cornelia Siregar,M,1992
30118628845442,bni,"Rahayu Farida, S.Kom",M,1980
30128251923093,bni,Halima Sihotang,M,1966
30129293116423,bni,"drg. Makara Safitri, M.Pd",F,1998
30130660221028,bni,Wirda Utama,M,1992
30136816489518,bni,Ian Prasasta,F,1990
30146000910179,bni,Dina Pratiwi,M,1988
30148256871071,bni,"R.A. Queen Mustofa, S.E.",M,1987
30152377357879,bni,Galar Sitompul,M,1975
30154692388860,bni,"Dr. Jasmani Hutasoit, S.E.I",F,2004
30158257275842,bni,R. Yani Ardianto,F,1984
30160416336911,bni,"Unjani Prasetyo, M.Kom.",F,1983
30164080918459,bni,Daliono Adriansyah,F,2012
30169751274025,bni,Prasetya Wasita,M,1986
30173960301876,bni,Drs. Jelita Mardhiyah,F,1971
30183483265664,bni,"Puspa Budiyanto, S.Kom",F,2012
30204462301856,bni,R. Umay Usamah,M,1971
30207713127087,bni,Rendy Oktaviani,M,1996
30213702385918,bni,Farhunnisa Latupono,M,1983
30215145049969,bni,Anggabaya Wahyudin,F,1986
30217806512665,bni,"Drs. Maimunah Puspasari, S.Farm",M,1984
30218688993296,bni,"dr. Aisyah Kusumo, M.Ak",F,1993
30220283510053,bni,Sutan Budi Puspita,M,2003
30233090748972,bni,Salimah Riyanti,F,2002
30236429604840,bni,Sabrina Palastri,F,1987
30237216024648,bni,"Puti Keisha Hutagalung, S.T.",M,1978
30239252986086,bni,Adhiarja Lazuardi,F,1993
30240183284849,bni,drg. Ellis Gunawan,F,2006
30242744757164,bni,Amalia Winarno,F,1984
30243553113457,bni,Gantar Adriansyah,F,1989
30243692336233,bni,Prayogo Mandala,M,1988
30250563095830,bni,Kamal Palastri,F,2004
30256261072781,bni,Nrima Lazuardi,F,1998
30268033336998,bni,Galur Hastuti,F,1994
30272434639554,bni,Mulyono Natsir,M,1993
30276672399789,bni,"Teguh Wijaya, S.Pt",F,1981
30294523538109,bni,"Drs. Darsirah Sitompul, S.H.",M,2012
30297544751882,bni,Halima Pangestu,F,1993
30299394314803,bni,Ibrahim Budiyanto,M,1988
30307565145425,bni,"Among Zulaika, S.Gz",F,1995
30310358800206,bni,Legawa Oktaviani,F,1985
30316232461842,bni,drg. Harjasa Hutagalung,F,1994
30324712076056,bni,T. Kanda Yuliarti,M,1974
30327528751648,bni,Dt. Panji Prasetyo,M,2000
30335751052527,bni,"Satya Wahyuni, S.I.Kom",F,2011
30368700827970,bni,Kiandra Yulianti,M,2008
30370190813577,bni,Kalim Winarsih,M,1988
30375353002744,bni,Drs. Gaman Hidayanto,M,1992
30378484061308,bni,"Surya Wibisono, S.T.",M,2007
30379737643934,bni,Siska Najmudin,M,1967
30382207494317,bni,Yuliana Lazuardi,F,1983
30385017224303,bni,"dr. Vega Rahimah, S.Pt",M,2003
30389692704498,bni,Jelita Utami,F,1980
30391027137790,bni,"Dt. Endra Maryati, S.Psi",M,1978
30393449116998,bni,Ellis Pradipta,F,1987
30400675225581,bni,"Tgk. Zulfa Anggriawan, M.Ak",M,1971
30411542225886,bni,Sidiq Nuraini,M,1980
30412791717573,bni,R.M. Pandu Sihombing,M,2004
30420755097205,bni,Eka Palastri,M,1990
30427752176460,bni,Tari Hutagalung,M,2009
30428250357040,bni,Estiawan Hastuti,M,2008
30431553316218,bni,Jane Prayoga,F,2010
30433284698559,bni,Carla Gunawan,M,1965
30437384286033,bni,Drs. Leo Mandala,F,1966
30438939516312,bni,"R. Cawuk Pratiwi, M.M.",F,1988
30441106310287,bni,"Hasan Nugroho, M.Kom.",M,2004
30441889571006,bni,Lili Purwanti,M,2007
30453434239088,bni,Drs. Aurora Tarihoran,F,1983
30458243667825,bni,Ajiono Lazuardi,F,1990
30468584253606,bni,Elvina Habibi,F,1988
30468724391654,bni,"dr. Maryanto Winarsih, S.Kom",M,1964
30471339318393,bni,Dr. Enteng Safitri,F,1988
30471438544758,bni,Siti Rahayu,F,1975
30471989684136,bni,"Gamblang Pradipta, M.Farm",M,2004
30477079103846,bni,Kania Siregar,F,2009
30480183587078,bni,"Hj. Julia Nainggolan, M.Kom.",M,1990
30482544684347,bni,Aurora Rahayu,F,2000
30495673428443,bni,Gina Natsir,F,1981
30539788142538,bni,KH. Asmuni Utama,F,1989
30545912633714,bni,"Tgk. Mila Wibisono, S.IP",F,1982
30546696437603,bni,"Gangsa Wijayanti, M.Kom.",M,1990
30566784196002,bni,"Ulva Habibi, S.Pt",F,1997
30567691580213,bni,Puspa Natsir,F,2012
30568752227520,bni,Satya Hidayanto,M,2002
30568786410068,bni,"Gatra Tamba, S.T.",F,1994
30569163714239,bni,Candrakanta Narpati,M,1969
30572818116818,bni,Elisa Mangunsong,M,2004
30583455954585,bni,Bahuwirya Rahayu,M,1981
30584868425288,bni,Victoria Susanti,M,1991
30595674997419,bni,"Ani Simanjuntak, M.Ak",M,2006
30596212770078,bni,Tgk. Gamani Nuraini,M,1984
30596855063062,bni,Siska Sihotang,F,1977
36003930452687,bni,"R.A. Gasti Budiman, S.T.",F,1981
36006226446453,bni,Tgk. Galang Firmansyah,F,1985
36016093628109,bni,Omar Susanti,M,1970
36047921068184,bni,Kambali Mayasari,F,1983
36057761709078,bni,Alambana Sinaga,F,1998
36067042340502,bni,Jatmiko Mansur,F,1965
36153254575181,bni,R.M. Ega Hidayat,F,2012
36162260650821,bni,Qori Yuliarti,M,2004
36191244854712,bni,dr. Hasim Prasasta,M,1992
36291352939899,bni,Titin Yuliarti,F,2010
36330618782725,bni,Kairav Halimah,M,1984
36393783138941,bni,Bakiman Utama,M,1982
36461801799828,bni,"Tgk. Farhunnisa Pertiwi, S.Farm",M,1999
36476308530047,bni,"Mahdi Kurniawan, S.Pd",M,1992
36587029529827,bni,"Rafi Lestari, S.I.Kom",F,1985
36598361926067,bni,Bahuraksa Pangestu,M,1981
36667443839505,bni,Juli Suryatmi,M,1979
36709320968021,bni,Daru Salahudin,M,1993
36716053653423,bni,Cut Ellis Pradana,F,1982
36734415819640,bni,Sutan Kemal Purnawati,F,2008
36768379265457,bni,"Limar Puspasari, S.Kom",F,1990
36862448099508,bni,Raisa Wibisono,F,2004
36883602587849,bni,Jaya Waskita,F,1981
36963033891422,bni,"Labuh Zulkarnain, S.Pd",F,2012
38007841175269,bni,Narji Yuliarti,F,2011
38047439997559,bni,Irma Widiastuti,F,1996
38054561616619,bni,Rahmi Prasasta,F,1985
38183446361164,bni,Adikara Megantara,F,1991
38190585044071,bni,Perkasa Manullang,M,1990
38322949612760,bni,drg. Hana Setiawan,M,1991
38363406879922,bni,"Radit Sitompul, M.Pd",M,2011
38414806494844,bni,Pranata Hakim,F,1989
38449865616788,bni,Laksana Utama,F,1986
38592056601117,bni,Artanto Kusmawati,F,1988
38641536387449,bni,Vanya Rahayu,M,2012
38803459613637,bni,"Sakti Lestari, M.TI.",F,2006
38854847237365,bni,Taufik Waskita,M,2003
38919000659661,bni,Anggabaya Suartini,F,1994
38951481647360,bni,Karma Wacana,M,1951
38956653374453,bni,Ayu Saragih,F,1990
180000271117261,emoney,Oman Mardhiyah,M,1994
180000876162530,emoney,"Ir. Yani Sihombing, S.H.",M,1973
180001710094731,emoney,Mulya Namaga,F,1981
180001837393123,emoney,"Dr. Damu Winarno, S.IP",F,1994
180002075456838,emoney,Caket Kurniawan,F,2006
180004245990597,emoney,"Danuja Maryati, M.TI.",F,1984
180004593186475,emoney,"Hardi Nuraini, S.Pt",F,1982
180005680484434,emoney,Zaenab Maheswara,F,2006
180005977764266,emoney,Latif Dongoran,F,2001
180005992866880,emoney,R.A. Puti Permadi,M,1987
180006387820342,emoney,Gandi Salahudin,F,1990
180006537547852,emoney,"Lanang Pertiwi, M.M.",F,1983
180008292897068,emoney,Garan Pertiwi,F,1986
180009851731375,emoney,Elvina Hardiansyah,F,1991
180016859215889,emoney,"Zalindra Irawan, M.TI.",M,1992
180020791350481,emoney,T. Karna Sihombing,F,2001
180022455185013,emoney,dr. Bakda Santoso,M,2005
180022972730457,emoney,"Tgk. Tania Zulaika, M.Pd",F,2010
180026403444133,emoney,Drs. Alika Saptono,F,1992
180027112876102,emoney,Salsabila Utama,M,1991
180029074109431,emoney,Maimunah Jailani,M,2004
180029435580718,emoney,Ira Usada,F,1966
180029770967827,emoney,Praba Utama,F,2002
180029887732247,emoney,Tirtayasa Farida,F,2008
180030301738141,emoney,Putri Handayani,F,2003
180030312264608,emoney,"Elvin Tarihoran, M.TI.",M,2003
180032476190454,emoney,"R.A. Farhunnisa Firmansyah, M.Pd",F,1996
180032529782349,emoney,"Luis Haryanto, S.Ked",F,1986
180034538389959,emoney,"Sutan Wakiman Suartini, M.TI.",F,1985
180038448564171,emoney,Banara Manullang,M,1948
180038648645358,emoney,Ami Hutagalung,M,1993
180039849944954,emoney,Maimunah Hassanah,M,2003
180040603003177,emoney,Kairav Hartati,M,1976
180040670397460,emoney,Dasa Siregar,F,1992
180042539226476,emoney,Slamet Gunarto,M,1967
180044239953466,emoney,Indah Mansur,F,2007
180044335370375,emoney,Leo Wastuti,M,2007
180045201850150,emoney,Ellis Sirait,F,1985
180046572914583,emoney,Drs. Agnes Gunarto,F,2003
180046659189505,emoney,Harjo Narpati,F,1994
180048325425156,emoney,Dagel Ardianto,M,1973
180048952048974,emoney,Tri Samosir,F,1966
180050480653705,emoney,"Drs. Siska Firmansyah, M.M.",F,1983
180050809468835,emoney,Latika Maheswara,M,1996
180051109225867,emoney,"Hj. Keisha Permata, S.H.",M,1974
180051949606243,emoney,"Salman Siregar, M.Pd",M,1965
