"transID","payCardID","corridorPK","direction","tapInTime","tapInStopPK","stopStartSeq","tapOutTime","tapOutStopPK","stopEndSeq","payAmount"
ABFY648S5D47AJ,6595765906487927,34,1,"2023-04-20 20:12:50",70,0,"2023-04-20 21:50:25",328,8,
ABGH469B5X10AB,213155822653833,56,0,"2023-04-19 05:16:40",71,25,"2023-04-19 06:03:25",2588,40,0
ABGR958C2F58EI,4179573090284608,60,0,"2023-04-27 06:54:09",72,10,"2023-04-27 08:25:36",445,14,20000
ABHP401N9N63RN,3540286623681182,61,0,"2023-04-12 16:04:48",73,2,"2023-04-12 16:57:42",2589,24,
ABHU295W8Y93OR,3552994986533131,62,0,"2023-04-26 20:11:42",74,4,"2023-04-26 21:29:56",529,6,3500
ABHZ793E1H46YW,4228391009711723,22,1,"2023-04-26 21:58:09",75,1,"2023-04-26 23:19:09",980,10,0
ABID643H0D44YU,6558770227673366,150,1,"2023-04-21 06:01:58",76,32,"2023-04-21 07:56:06",2553,38,0
ABIH126H4R25DU,3540286623681182,61,0,"2023-04-20 16:14:33",73,2,"2023-04-20 17:06:08",2589,24,
ABIO281W3E03KX,4009697722749,63,0,"2023-04-20 06:22:06",77,23,"2023-04-20 07:06:04",2590,35,0
ABIS016B2A51RV,30240183284849,64,0,"2023-04-08 14:26:29",78,18,"2023-04-08 15:58:31",775,19,3500
ABIS429K1B27PC,180074265853819,65,1,"2023-04-18 17:28:31",79,8,"2023-04-18 18:47:00",2591,24,0
ABJD786V1R52GC,6587237994402242,29,1,"2023-04-28 07:14:19",80,3,"2023-04-28 09:12:53",2592,38,0
ABJP207Y7I11VQ,2277145964192996,66,1,"2023-04-20 18:40:30",81,13,"2023-04-20 20:06:50",1886,25,0
ABLU419U8Q55MG,30453434239088,67,0,"2023-04-16 18:09:43",82,11,"2023-04-16 19:57:30",2593,14,0
ABMS715B3Q54KC,371937801787353,37,1,"2023-04-03 20:15:31",43,35,"2023-04-03 21:42:12",2581,36,3500
ABMT425D6Z06BI,4759974348569444,68,1,"2023-04-06 20:25:48",83,0,"2023-04-06 22:05:20",370,6,3500
ABNJ350N0L33MW,6011627303030500,69,0,"2023-04-19 07:00:10",84,1,"2023-04-19 08:58:14",551,2,0
ABOC313C2X52OJ,3502967899324468,70,0,"2023-04-19 11:43:26",85,10,"2023-04-19 12:33:55",1387,30,3500
ABOJ424H6S00TO,3570145781190035,71,0,"2023-04-25 06:42:39",86,0,"2023-04-25 08:12:06",94,1,3500
ABPH827P4B65JX,3522432572015145,23,0,"2023-04-13 06:10:26",87,9,"2023-04-13 07:00:35",1554,11,3500
ABPS072U1Z44PL,676192275250,16,1,"2023-04-21 19:09:44",39,0,"2023-04-21 20:22:41",1965,2,3500
ABQT737P8C12ON,346642743067607,72,0,"2023-04-12 09:27:50",88,0,"2023-04-12 11:04:39",2594,22,0
ABQZ914O4R29SA,3554107048543687,73,0,"2023-04-24 06:26:43",89,17,"2023-04-24 06:59:14",450,19,3500
ABRG203B8J19KI,377814808795289,14,0,"2023-04-17 07:37:57",90,30,"2023-04-17 09:16:36",2595,39,0
ABRK054G3O81PV,3507250769984157,74,1,"2023-04-18 18:43:44",91,9,"2023-04-18 20:00:18",2596,40,0
ABRR344Y8S70RD,4498288202551,75,1,"2023-04-12 07:11:13",92,15,"2023-04-12 08:18:53",1808,37,0
ABSC912Y8F33CV,376709300726678,76,0,"2023-04-12 06:33:39",93,41,"2023-04-12 08:33:04",2597,44,0
ABSQ173O0S15GE,2245958200404051,77,1,"2023-04-05 17:35:53",94,0,"2023-04-05 18:42:51",136,1,0
ABSW661Q0S91XB,373739550258398,78,1,"2023-04-29 07:41:19",95,7,"2023-04-29 08:47:21",1314,18,3500
ABTC172Q8A81SM,370961379631505,64,0,"2023-04-15 14:12:38",96,7,"2023-04-15 15:34:14",450,17,3500
ABTS406O9V87VQ,4348362451721640908,17,0,"2023-04-20 08:16:21",97,13,"2023-04-20 10:04:30",2598,16,3500
ABTY510D9M94GT,3549492311838172,79,0,"2023-04-22 18:50:36",83,12,"2023-04-22 19:19:27",959,15,3500
ABUD403M4V55DF,4968156435384914,80,0,"2023-04-26 05:54:54",98,13,"2023-04-26 06:45:01",758,14,3500
ABUT430D4B72CD,4148347241602606,38,1,"2023-04-12 20:53:06",99,13,"2023-04-12 22:25:32",2599,22,0
ABWD150R5X40AO,639083950241,81,0,"2023-04-04 06:18:25",100,0,"2023-04-04 08:11:13",1422,2,0
ABWI239L6W23BG,6544828689784746,82,1,"2023-04-06 07:50:11",101,2,"2023-04-06 08:17:04",1401,3,0
ABWJ824C6S17QT,2245958200404051,77,1,"2023-04-18 17:47:50",94,0,"2023-04-18 18:44:20",136,1,0
ABXD095Y2U89WN,571979859337,32,0,"2023-04-11 17:22:55",102,7,"2023-04-11 18:43:55",251,9,3500
ABXU460I1Q06SR,4840744854508974,83,1,"2023-04-16 16:39:46",103,12,"2023-04-16 17:33:41",2600,19,0
ABYI729R8G75PK,374068907744739,10,1,"2023-04-27 18:12:21",104,0,"2023-04-27 19:17:13",255,6,3500
ABYL054C5N85YL,3520019550205566,84,0,"2023-04-26 18:09:28",105,35,"2023-04-26 19:58:30",2047,39,0
ABYN432Z2P87ZG,3514160059639984,29,0,"2023-04-20 18:08:32",106,35,"2023-04-20 19:31:33",584,46,0
ABYN670K4Y69MV,4428582927102421723,180,0,"2023-04-06 06:27:57",107,29,"2023-04-06 06:55:18",1444,33,0
ABYO848B3H84BY,4498288202551,75,1,"2023-04-10 09:58:40",92,15,"2023-04-10 10:57:07",1808,37,0
ABYY625O2Q62VS,630486994241,42,0,"2023-04-11 17:32:24",108,20,"2023-04-11 18:56:22",2601,30,3500
ABZI741U8G99CQ,6011359873049658,85,1,"2023-04-16 20:44:52",109,10,"2023-04-16 21:28:35",2602,21,0
ABZO748L0K14OM,6582441579700211,86,1,"2023-04-29 12:24:59",110,18,"2023-04-29 13:36:34",475,45,3500
ABZT768G3J76PL,213119392508801,111,1,"2023-04-04 21:34:32",111,30,"2023-04-04 22:55:51",2603,39,0
ABZV213O0P71LQ,2273899076950287,87,0,"2023-04-28 20:22:08",35,21,"2023-04-28 21:49:43",1953,24,3500
ACAJ281E8P26QQ,2254018175787390,41,0,"2023-04-24 08:41:18",112,0,"2023-04-24 09:25:14",2604,12,0
ACBP109Y3O72OG,3588647692912019,88,0,"2023-04-30 16:28:50",113,4,"2023-04-30 18:02:26",2605,6,
ACBQ692K4X56ZS,639083950241,81,1,"2023-04-28 20:14:43",114,0,"2023-04-28 21:51:50",958,4,0
ACBS600X4J15YJ,2589024911735525,89,1,"2023-04-07 19:05:49",115,34,"2023-04-07 20:02:48",1953,36,0
ACBW209N0U78GW,4528824477684144,90,1,"2023-04-10 07:53:07",116,18,"2023-04-10 08:40:17",2606,28,3500
ACCO545G4O85MJ,180095862033760,91,0,"2023-04-22 21:09:46",117,19,"2023-04-22 23:03:51",2607,24,0
ACCV270N7W77OZ,180020791350481,92,0,"2023-04-25 06:18:31",118,7,"2023-04-25 07:11:27",1423,13,3500
ACDC308I3A88QX,213120748859641,87,1,"2023-04-28 06:36:13",119,30,"2023-04-28 07:10:10",1363,35,3500
ACDD268B2V48BC,4055737709006,93,0,"2023-04-13 18:24:22",120,12,"2023-04-13 19:42:45",834,14,3500
ACDI354L4N32RR,564779969448,94,0,"2023-04-22 13:55:12",121,10,"2023-04-22 14:48:41",1161,16,3500
ACDM963T7J83EZ,180029887732247,91,0,"2023-04-11 17:14:07",122,25,"2023-04-11 18:06:52",2608,27,0
ACDY192A5Y98TC,30546696437603,95,1,"2023-04-05 16:44:34",123,4,"2023-04-05 18:34:05",2609,17,3500
ACEV001P0M61GK,4009697722749,63,1,"2023-04-07 17:27:47",124,30,"2023-04-07 18:37:16",39,31,0
ACFI575A5Y84AV,565431772831,96,1,"2023-04-25 17:01:27",125,0,"2023-04-25 17:53:33",25,12,3500
ACFR833K8I98TW,4039277633695458,36,0,"2023-04-29 10:35:32",126,22,"2023-04-29 11:42:48",1272,27,0
ACGF146J4R04ZJ,3554107048543687,73,1,"2023-04-18 20:56:51",127,4,"2023-04-18 21:52:04",428,14,3500
ACGS733B4Z60EW,378872365541693,45,1,"2023-04-07 06:40:55",128,6,"2023-04-07 07:14:23",2610,24,3500
ACHM152X1A01QP,565431772831,96,0,"2023-04-05 06:09:39",129,8,"2023-04-05 06:58:46",1029,13,3500
ACHS403J3A75WW,4636055192881546,97,1,"2023-04-14 18:25:28",130,0,"2023-04-14 20:01:39",2271,2,0
ACIB777Y4D87LJ,3551528187475295,13,0,"2023-04-15 20:26:19",131,16,"2023-04-15 21:16:12",1009,24,3500
ACJJ434V8O14LB,586670325479,55,1,"2023-04-17 07:59:33",132,25,"2023-04-17 08:59:53",714,32,0
ACJU409X8G58LK,4792312628110344784,77,1,"2023-04-05 20:31:04",94,0,"2023-04-05 22:25:34",136,1,0
ACJZ964T3D96MF,376862509774591,98,1,"2023-04-17 06:36:06",133,7,"2023-04-17 08:06:07",149,8,3500
ACKF061S3E65XB,5552327039791635,,1,"2023-04-17 06:51:38",134,0,"2023-04-17 07:29:54",294,2,3500
ACLC772P2B31WP,3579692870866695,198,0,"2023-04-03 18:08:27",135,19,"2023-04-03 19:07:29",191,20,3500
ACLI027H5W71FI,2720556419423963,77,0,"2023-04-13 05:17:56",136,0,"2023-04-13 05:53:46",94,1,0
ACLJ411F4K60WC,4437250881603997453,85,0,"2023-04-12 08:29:03",137,6,"2023-04-12 09:23:43",2611,16,0
ACLP464H5V11KC,2276099634138221,45,1,"2023-04-24 09:14:28",138,17,"2023-04-24 10:56:11",2610,23,3500
ACLV326F5Q82LY,4528824477684144,90,0,"2023-04-06 19:08:42",139,16,"2023-04-06 20:04:01",1562,28,3500
ACMZ663J4O29DT,3596612633477696,16,1,"2023-04-11 07:49:42",140,4,"2023-04-11 09:38:42",1498,15,3500
ACNH067U3Q89ND,6011030576594056,30,1,"2023-04-20 21:57:30",32,3,"2023-04-20 23:04:12",2073,7,3500
ACOQ547M8X36MH,4544515842302442,99,1,"2023-04-06 06:36:30",134,18,"2023-04-06 07:10:59",1605,19,3500
ACOY191U8P57SL,4044627593290079491,12,1,"2023-04-24 18:52:23",141,34,"2023-04-24 19:54:52",2612,37,3500
ACPK576Y9I41XE,4203562511038947968,24,0,"2023-04-03 17:45:49",94,17,"2023-04-03 19:43:28",1217,18,3500
ACQH960L8H53BA,4725775400524,100,0,"2023-04-26 18:03:00",142,3,"2023-04-26 19:36:41",1529,5,0
ACRI326O8D50SU,213115245142137,101,0,"2023-04-10 16:33:41",143,25,"2023-04-10 17:24:35",1353,39,0
ACRZ319M2E49OI,213104805015669,102,1,"2023-04-28 16:06:02",144,13,"2023-04-28 17:44:30",2613,53,0
ACSW918G3S80OL,4307408224686,86,0,"2023-04-12 16:41:18",145,24,"2023-04-12 18:37:25",1000,48,3500
ACTB228V4Q82WO,2251412124634980,60,0,"2023-04-25 06:48:50",146,3,"2023-04-25 07:10:09",462,6,20000
ACTV267X0T74GM,4074114259011835374,103,1,"2023-04-10 16:34:39",147,48,"2023-04-10 17:43:56",1189,57,0
ACUM358V4M19LP,4636055192881546,97,0,"2023-04-19 06:28:20",148,13,"2023-04-19 08:05:25",2614,33,0
ACUV386A7H28PD,342531623551844,40,1,"2023-04-21 05:01:36",149,3,"2023-04-21 05:53:04",556,5,3500
ACVP492F3X42KI,4401832304257580,104,0,"2023-04-19 19:03:00",150,22,"2023-04-19 20:59:47",2615,32,0
ACVZ942S7B93MM,4543133446525763,78,0,"2023-04-18 06:00:10",151,18,"2023-04-18 06:42:02",351,19,3500
ACWW662X7X75YZ,4933173483056,61,1,"2023-04-05 07:47:00",152,13,"2023-04-05 09:23:40",1115,22,
ACWZ043U1P35ET,2245958200404051,77,0,"2023-04-26 05:07:34",136,0,"2023-04-26 06:01:45",94,1,0
ACWZ965Z3E31OO,4909284437358495207,105,0,"2023-04-18 17:25:52",15,26,"2023-04-18 19:24:59",1590,29,3500
ACXE766X4Q54FK,586818272435,106,1,"2023-04-17 16:26:13",153,2,"2023-04-17 17:42:57",339,11,3500
ACXX088G6V90XU,586670325479,55,1,"2023-04-12 09:00:18",132,25,"2023-04-12 10:10:18",714,32,0
ACYB616F5O07YV,4281653494791,107,0,"2023-04-05 05:18:21",154,16,"2023-04-05 05:46:49",1660,28,3500
ACYD188J0C79WL,4106531301179023,29,1,"2023-04-12 16:19:45",155,30,"2023-04-12 17:56:41",2616,50,0
ACYD249K8M52XT,676194898042,108,0,"2023-04-30 20:31:46",156,1,"2023-04-30 22:03:53",680,9,20000
ACYW906X7Z07IS,180074978149455,12,1,"2023-04-28 07:09:19",157,21,"2023-04-28 08:43:11",2400,23,3500
ACZL440W5Z29JA,213191293100137,23,0,"2023-04-05 06:13:26",158,18,"2023-04-05 06:49:28",2617,21,3500
ACZO874O0Y31BU,3529040558177467,19,1,"2023-04-25 17:02:13",159,19,"2023-04-25 18:40:43",349,20,3500
ACZY148X5U87GY,370311431463416,109,0,"2023-04-24 06:58:32",160,5,"2023-04-24 07:33:24",397,7,3500
ADAC386Q0C30YM,4941966320527194737,57,1,"2023-04-20 05:00:49",161,2,"2023-04-20 05:27:45",408,10,3500
ADCE043I6D57XG,4491168846978040,97,1,"2023-04-26 08:45:17",162,6,"2023-04-26 10:17:11",2618,7,0
ADDU777O3D57RC,30154692388860,110,1,"2023-04-20 21:31:33",163,22,"2023-04-20 23:07:17",998,24,0
ADFJ556N6R77YK,4840744854508974,83,0,"2023-04-19 06:12:28",164,10,"2023-04-19 06:55:22",2619,61,0
ADFJ725G2J87QG,6592322056148025,111,1,"2023-04-05 16:45:12",165,41,"2023-04-05 17:51:29",2620,44,0
ADFN188L7S86FE,3571912617977029,112,1,"2023-04-10 20:20:32",166,20,"2023-04-10 21:18:22",1953,36,3500
ADFV654L2W69RJ,4863916116749,136,1,"2023-04-17 20:31:01",167,0,"2023-04-17 22:21:32",2236,4,0
ADFY094M2K75AZ,3585765705663958,86,0,"2023-04-10 06:04:40",168,22,"2023-04-10 06:32:08",2076,36,3500
ADGB968D9L10ST,4060341720248400161,21,0,"2023-04-28 09:11:39",169,34,"2023-04-28 10:45:21",693,36,3500
ADGG237M3B27VO,180080234589061,113,0,"2023-04-09 05:07:19",170,7,"2023-04-09 06:58:55",2352,17,3500
ADGK962P6O67XL,30310358800206,52,0,"2023-04-12 20:45:05",171,13,"2023-04-12 22:14:29",1551,14,20000
ADGT933P5Y01DW,4017802962833960,114,1,"2023-04-05 16:06:41",172,4,"2023-04-05 17:28:31",551,6,3500
ADHG555Z3P36BP,374659960840503,10,1,"2023-04-06 06:19:19",173,15,"2023-04-06 06:48:42",388,17,3500
ADHJ535I4Q20HR,4731296980586052393,39,1,"2023-04-06 21:15:21",174,13,"2023-04-06 22:35:28",2621,22,0
ADIA644R3L63AZ,378734496477017,115,1,"2023-04-16 05:02:58",175,44,"2023-04-16 06:08:04",2622,60,0
ADJC292N1O78XI,213186627613334,112,1,"2023-04-11 21:08:38",176,33,"2023-04-11 22:01:22",449,35,3500
ADJP399P1E24PA,213105773866033,40,0,"2023-04-10 05:57:11",177,7,"2023-04-10 06:28:02",270,11,3500
ADKF490Y5I37XE,4992399872617,116,0,"2023-04-19 08:58:44",178,33,"2023-04-19 10:08:57",2623,43,0
ADKW861R7N84LY,503841650990,117,0,"2023-04-27 07:05:43",179,5,"2023-04-27 07:53:12",2624,6,3500
ADLA189B9N48XV,3546981403871656,9,0,"2023-04-18 19:48:48",180,0,"2023-04-18 21:06:17",2625,7,3500
ADMB677S7N66JW,560124338883,63,0,"2023-04-12 17:11:30",181,26,"2023-04-12 18:55:46",2626,43,0
ADMY356F2B11AP,180022972730457,48,0,"2023-04-26 17:15:12",182,12,"2023-04-26 18:57:31",189,21,3500
ADMY840K5R84HS,30276672399789,99,0,"2023-04-19 06:47:25",183,10,"2023-04-19 07:44:37",102,15,3500
ADPK886T2G51NS,4376541203354296,104,1,"2023-04-28 07:37:29",184,38,"2023-04-28 08:56:08",2627,46,0
ADPL716F6B53DU,4412277273662567,118,0,"2023-04-11 09:04:34",185,2,"2023-04-11 10:57:15",2628,9,3500
ADQO407Q4V91GM,4678097992274,23,1,"2023-04-06 21:12:24",186,15,"2023-04-06 22:36:29",551,25,3500
ADQV984U5M44HR,4667963556135841,48,1,"2023-04-27 09:21:26",187,17,"2023-04-27 10:15:35",134,20,3500
ADQZ910G3V29GN,3502800039632328,119,1,"2023-04-11 06:48:13",188,0,"2023-04-11 07:36:00",89,11,3500
ADRJ363N4W03AC,378459243668060,59,0,"2023-04-24 20:38:04",69,0,"2023-04-24 22:10:33",825,2,20000
ADRM140B9C47IF,3569565201587911,120,1,"2023-04-25 17:06:11",189,0,"2023-04-25 19:03:30",823,7,0
ADSF563Y6X24VX,4306399682236699,121,0,"2023-04-05 16:40:24",190,35,"2023-04-05 18:17:24",2629,43,0
ADTE694T7H77HR,4437250881603997453,85,0,"2023-04-11 07:27:52",137,6,"2023-04-11 08:25:27",2611,16,0
ADTH308A2K34OS,4993628236551825,26,0,"2023-04-17 05:46:06",27,28,"2023-04-17 06:24:02",2574,30,0
ADUK881F2V71BP,30458243667825,98,1,"2023-04-20 19:41:02",191,6,"2023-04-20 21:26:34",133,7,3500
ADUP696V7B14QP,2488692931173646,122,1,"2023-04-23 10:28:37",192,16,"2023-04-23 10:44:14",2630,33,0
ADUS640X6N62CG,4097122165824,54,1,"2023-04-25 06:35:53",193,12,"2023-04-25 07:22:43",2631,16,3500
ADUX273J1S65QO,3569562588766630,77,1,"2023-04-25 06:39:53",94,0,"2023-04-25 07:03:16",136,1,0
ADVN007C0M30OD,346348443002072,,0,"2023-04-21 09:49:24",194,10,"2023-04-21 10:39:41",2632,18,0
ADWJ750K3Y54FM,567169910336,123,0,"2023-04-13 20:14:31",195,16,"2023-04-13 22:08:24",1552,32,3500
ADXG077N7V49WU,676368577380,6,1,"2023-04-10 06:39:37",196,0,"2023-04-10 07:36:09",1296,13,0
ADXI057W4N79HR,30324712076056,26,0,"2023-04-08 08:32:05",197,20,"2023-04-08 08:49:04",27,28,0
ADXK357B6J83NI,4555304365157,66,0,"2023-04-11 06:08:04",198,21,"2023-04-11 07:34:02",300,28,0
ADXM242N8P33IS,180048325425156,41,1,"2023-04-11 06:17:58",48,11,"2023-04-11 06:47:53",2197,19,0
ADXR167I3E86MU,2402313549139274,18,0,"2023-04-21 06:17:59",199,1,"2023-04-21 06:52:02",1478,9,3500
ADXS265I6O92SX,575273480229,124,0,"2023-04-06 06:45:19",200,8,"2023-04-06 07:27:39",128,17,3500
ADXS734S5T87US,30136816489518,125,0,"2023-04-05 06:11:52",201,46,"2023-04-05 06:46:00",2079,49,3500
ADYF062Y3E52UA,180022972730457,48,0,"2023-04-03 16:27:09",182,12,"2023-04-03 17:33:34",189,21,3500
ADYG148U2P87WT,2294823290681911,126,1,"2023-04-24 17:59:35",202,5,"2023-04-24 19:28:31",2361,9,20000
